"entrezgene_id","entrezgene_accession"
4535,"ND1"
4536,"ND2"
4512,"COX1"
4513,"COX2"
4509,"ATP8"
4508,"ATP6"
4514,"COX3"
4537,"ND3"
4539,"ND4L"
4538,"ND4"
4540,"ND5"
4541,"ND6"
4519,"CYTB"
3804,"KIR2DL3"
3802,"KIR2DL1"
3804,"KIR2DL3"
3812,"KIR3DL2"
3809,"KIR2DS4"
65123,"INTS3"
55251,"PCMTD2"
3809,"KIR2DS4"
3809,"KIR2DS4"
3810,"KIR2DS5"
3809,"KIR2DS4"
3809,"KIR2DS4"
3808,"KIR2DS3"
3805,"KIR2DL4"
9437,"NCR1"
3803,"KIR2DL2"
3803,"KIR2DL2"
3805,"KIR2DL4"
3805,"KIR2DL4"
3812,"KIR3DL2"
115653,"KIR3DL3"
3811,"KIR3DL1"
3805,"KIR2DL4"
3805,"KIR2DL4"
3811,"KIR3DL1"
3802,"KIR2DL1"
3805,"KIR2DL4"
115653,"KIR3DL3"
3809,"KIR2DS4"
3812,"KIR3DL2"
3805,"KIR2DL4"
2204,"FCAR"
4987,"OPRL1"
3811,"KIR3DL1"
2832,"NPBWR2"
3811,"KIR3DL1"
3810,"KIR2DS5"
3809,"KIR2DS4"
3802,"KIR2DL1"
3804,"KIR2DL3"
100132285,"KIR2DS2"
100132285,"KIR2DS2"
4661,"MYT1"
115653,"KIR3DL3"
3805,"KIR2DL4"
3811,"KIR3DL1"
3811,"KIR3DL1"
3802,"KIR2DL1"
3811,"KIR3DL1"
3813,"KIR3DS1"
3803,"KIR2DL2"
3805,"KIR2DL4"
3802,"KIR2DL1"
3811,"KIR3DL1"
3803,"KIR2DL2"
3811,"KIR3DL1"
3811,"KIR3DL1"
3803,"KIR2DL2"
3812,"KIR3DL2"
3804,"KIR2DL3"
115653,"KIR3DL3"
3805,"KIR2DL4"
3810,"KIR2DS5"
3809,"KIR2DS4"
3803,"KIR2DL2"
115653,"KIR3DL3"
115653,"KIR3DL3"
2204,"FCAR"
2204,"FCAR"
3806,"KIR2DS1"
3812,"KIR3DL2"
3809,"KIR2DS4"
3804,"KIR2DL3"
100132285,"KIR2DS2"
3811,"KIR3DL1"
3812,"KIR3DL2"
3811,"KIR3DL1"
3805,"KIR2DL4"
3805,"KIR2DL4"
3802,"KIR2DL1"
115653,"KIR3DL3"
3805,"KIR2DL4"
3809,"KIR2DS4"
3802,"KIR2DL1"
3802,"KIR2DL1"
3802,"KIR2DL1"
3806,"KIR2DS1"
3805,"KIR2DL4"
115653,"KIR3DL3"
3810,"KIR2DS5"
3811,"KIR3DL1"
3813,"KIR3DS1"
3812,"KIR3DL2"
115653,"KIR3DL3"
100132285,"KIR2DS2"
100132285,"KIR2DS2"
3804,"KIR2DL3"
2204,"FCAR"
3812,"KIR3DL2"
3808,"KIR2DS3"
3811,"KIR3DL1"
3805,"KIR2DL4"
3804,"KIR2DL3"
115653,"KIR3DL3"
3802,"KIR2DL1"
9437,"NCR1"
