"ID","Name","Gene_Target","entrez_id"
"DB00006","Bivalirudin","F2",2147
"DB00006","Bivalirudin","MPO",4353
"DB00027","Gramicidin D","ABCB1",5243
"DB00035","Desmopressin","AVPR2",554
"DB00035","Desmopressin","AVPR1A",552
"DB00035","Desmopressin","AVPR1B",553
"DB00035","Desmopressin","PTGS1",5742
"DB00035","Desmopressin","PTGS2",5743
"DB00067","Vasopressin","AVPR2",554
"DB00067","Vasopressin","AVPR1A",552
"DB00067","Vasopressin","AVPR1B",553
"DB00067","Vasopressin","ABCC2",1244
"DB00091","Ciclosporin","CAMLG",819
"DB00091","Ciclosporin","PPP3R2",5535
"DB00091","Ciclosporin","PPIA",5478
"DB00091","Ciclosporin","PPIF",10105
"DB00091","Ciclosporin","CYP3A7",1551
"DB00091","Ciclosporin","CYP3A5",1577
"DB00091","Ciclosporin","CYP3A4",1576
"DB00091","Ciclosporin","CYP2C19",1557
"DB00091","Ciclosporin","CYP2C8",1558
"DB00091","Ciclosporin","CYP2C9",1559
"DB00091","Ciclosporin","CYP2D6",1565
"DB00091","Ciclosporin","ABCB1",5243
"DB00091","Ciclosporin","ABCC3",8714
"DB00091","Ciclosporin","ABCB11",8647
"DB00091","Ciclosporin","SLCO1A2",6579
"DB00091","Ciclosporin","SLC10A2",6555
"DB00091","Ciclosporin","SLC10A1",6554
"DB00091","Ciclosporin","SLC22A6",9356
"DB00091","Ciclosporin","ABCC10",89845
"DB00091","Ciclosporin","ABCC2",1244
"DB00091","Ciclosporin","ABCG2",9429
"DB00091","Ciclosporin","SLCO1B1",10599
"DB00091","Ciclosporin","SLCO1B3",28234
"DB00122","Choline","PCYT1B",9468
"DB00122","Choline","ACHE",43
"DB00122","Choline","PCYT1A",5130
"DB00122","Choline","PLD2",5338
"DB00122","Choline","BCHE",590
"DB00122","Choline","PLD1",5337
"DB00122","Choline","PHOSPHO1",162466
"DB00122","Choline","CHRNA7",1139
"DB00122","Choline","CEPT1",10390
"DB00122","Choline","CHKB",1120
"DB00122","Choline","CHAT",1103
"DB00122","Choline","CHKA",1119
"DB00122","Choline","CHDH",55349
"DB00122","Choline","SLC22A2",6582
"DB00122","Choline","SLC22A1",6580
"DB00122","Choline","SLC22A3",6581
"DB00122","Choline","SLC22A5",6584
"DB00122","Choline","SLC22A4",6583
"DB00122","Choline","SLC44A1",23446
"DB00122","Choline","SLC44A4",80736
"DB00122","Choline","SLC44A2",57153
"DB00122","Choline","SLC44A3",126969
"DB00122","Choline","SLC5A7",60482
"DB00150","L-Tryptophan","WARS2",10352
"DB00150","L-Tryptophan","TDO2",6999
"DB00150","L-Tryptophan","DDC",1644
"DB00150","L-Tryptophan","WARS2",10352
"DB00150","L-Tryptophan","TPH1",7166
"DB00150","L-Tryptophan","TPH2",121278
"DB00150","L-Tryptophan","IDO1",3620
"DB00150","L-Tryptophan","SLC16A2",6567
"DB00150","L-Tryptophan","SLC16A10",117247
"DB00175","Pravastatin","HMGCR",3156
"DB00175","Pravastatin","SLCO1B1",10599
"DB00175","Pravastatin","SLCO2B1",11309
"DB00175","Pravastatin","ABCB1",5243
"DB00175","Pravastatin","SLCO1A2",6579
"DB00175","Pravastatin","SLC22A6",9356
"DB00175","Pravastatin","SLC22A8",9376
"DB00175","Pravastatin","ABCC2",1244
"DB00175","Pravastatin","SLC22A11",55867
"DB00175","Pravastatin","ABCG2",9429
"DB00175","Pravastatin","SLC22A7",10864
"DB00175","Pravastatin","SLC16A1",6566
"DB00175","Pravastatin","ABCB11",8647
"DB00175","Pravastatin","SLCO1B3",28234
"DB00176","Fluvoxamine","SLC6A4",6532
"DB00176","Fluvoxamine","KCNH2",3757
"DB00176","Fluvoxamine","CYP2D6",1565
"DB00176","Fluvoxamine","CYP1A2",1544
"DB00176","Fluvoxamine","CYP2E1",1571
"DB00176","Fluvoxamine","CYP1A1",1543
"DB00176","Fluvoxamine","CYP3A4",1576
"DB00176","Fluvoxamine","CYP3A5",1577
"DB00176","Fluvoxamine","CYP3A7",1551
"DB00176","Fluvoxamine","CYP2C9",1559
"DB00176","Fluvoxamine","CYP2C19",1557
"DB00176","Fluvoxamine","CYP2B6",1555
"DB00176","Fluvoxamine","CYP2C8",1558
"DB00176","Fluvoxamine","ABCB1",5243
"DB00176","Fluvoxamine","ABCB11",8647
"DB00177","Valsartan","AGTR1",185
"DB00177","Valsartan","CYP2C9",1559
"DB00177","Valsartan","SLCO1B3",28234
"DB00177","Valsartan","SLCO1B1",10599
"DB00177","Valsartan","ABCC2",1244
"DB00178","Ramipril","ACE",1636
"DB00178","Ramipril","BDKRB1",623
"DB00178","Ramipril","BCHE",590
"DB00178","Ramipril","SLC15A1",6564
"DB00178","Ramipril","SLC15A2",6565
"DB00179","Masoprocol","ALOX5",240
"DB00179","Masoprocol","SHBG",6462
"DB00179","Masoprocol","CYP2J2",1573
"DB00181","Baclofen","GABBR1",2550
"DB00181","Baclofen","GABBR2",9568
"DB00182","Amphetamine","SLC18A2",6571
"DB00182","Amphetamine","SLC6A3",6531
"DB00182","Amphetamine","CARTPT",9607
"DB00182","Amphetamine","TAAR1",134864
"DB00182","Amphetamine","SLC6A2",6530
"DB00182","Amphetamine","ADRA1A",148
"DB00182","Amphetamine","ADRB1",153
"DB00182","Amphetamine","DRD2",1813
"DB00182","Amphetamine","MAOB",4129
"DB00182","Amphetamine","SLC6A4",6532
"DB00182","Amphetamine","MAOA",4128
"DB00182","Amphetamine","CYP2D6",1565
"DB00182","Amphetamine","CYP2A6",1548
"DB00182","Amphetamine","SLC22A3",6581
"DB00182","Amphetamine","SLC22A5",6584
"DB00186","Lorazepam","GABRA1",2554
"DB00186","Lorazepam","TSPO",706
"DB00186","Lorazepam","UGT2B15",7366
"DB00186","Lorazepam","CYP3A4",1576
"DB00189","Ethchlorvynol","GABRA1",2554
"DB00190","Carbidopa","DDC",1644
"DB00191","Phentermine","SLC6A2",6530
"DB00191","Phentermine","SLC6A4",6532
"DB00191","Phentermine","SLC6A3",6531
"DB00191","Phentermine","MAOA",4128
"DB00191","Phentermine","MAOB",4129
"DB00191","Phentermine","NPY",4852
